OrderID,Date,Product,Quantity,TotalPrice,OrderStatus
ORD200789,2023-08-17 00:00:00,Tablet,5,3456.4,Delivered
ORD201122,2023-06-07 00:00:00,Monitor,5,3390.95,Returned
ORD200632,2023-05-02 00:00:00,Laptop,5,3390.8,Delivered
ORD200469,2023-11-26 00:00:00,Chair,5,3384.9,Cancelled
ORD200328,2023-02-28 00:00:00,Tablet,5,3370.2,Cancelled
ORD200107,2023-03-27 00:00:00,Printer,5,3353.75,Shipped
ORD200326,2024-07-01 00:00:00,Laptop,5,3352.4,Returned
ORD201065,2023-10-30 00:00:00,Printer,5,3334.0,Delivered
ORD201031,2023-02-28 00:00:00,Phone,5,3322.55,Pending
ORD200463,2023-05-26 00:00:00,Laptop,5,3313.9,Shipped
